Zootecnia-Ufrpe-Ufpb-Ufc,
Zootecnia (Qualidade E Produtividade Animal),
Zootecnia (Producao Animal) (Jaboticabal),
Zootecnia (Nutricao E Producao Animal) (Botucatu),
Zootecnia (Melhoramento Genetico Animal) (Jaboticabal),
Zootecnia (Ilha Solteira),
Zootecnia (Areia),
Zootecnia,
Zoologia De Vertebrados,
Zoologia,
Vigilancia Sanitaria,
Veterinaria,
Urologia,
Urbanismo,
Turismo E Hotelaria,
Turismo,
Tratamento Da Informacao Espacial,
Transportes,
Toxicologia E Analises Toxicológicas,
Toxicologia,
Tocoginecologia,
Toco-Ginecologia,
Tisiologia E Pneumologia,
Teoria Psicanalitica,
Teoria E História Literaria,
Teologia,
Telecomunicacoes, Desenvolvimento Regional E Meio Ambiente,
Tecnologias Energeticas Nucleares,
Tecnologias Ambientais,
Tecnologia Nuclear,
Tecnologia Educacional Nas Ciencias Da Saude,
Tecnologia De Processos Quimicos E Bioquimicos,
Tecnologia De Alimentos,
Tecnologia Bioquimico-Farmaceutica,
Tecnologia Ambiental E Recursos Hidricos,
Tecnologia Ambiental,
Tecnologia,
Tecnicas Operatórias E Cirurgia Experimental,
Teatro,
Sustentabilidade Sócio-Econômica E Ambiental,
Sustentabilidade De Ecossistemas,
Sociologia Rural,
Sociologia Politica,
Sociologia (J. Pessoa),
Sociologia E Politica,
Sociologia E Direito,
Sociologia E Antropologia,
Sociologia, Dinamica Do Espaco Habitado, Matematica,
Sociologia (Araraquara),
Sociologia,
Sociedade E Cultura Na Amazônia,
Sistemas Mecatrônicos,
Sistemas E Computacao,
Sistemas De Gestao,
Sistemas Agrosilvopastoris No Semi-Arido,
Sistema Constitucional De Garantia De Direitos,
Sexologia,
Servico Social (Franca),
Servico Social, Fisica, Odontologia,
Servico Social E Politica Social,
Servico Social,
Sensoriamento Remoto,
Saude Publica (Nesc/Pe),
Saude Publica,
Saude Na Comunidae,
Saude Na Comunidade (Ribeirao Preto),
Saude Mental,
Saude Materno Infantil,
Saude E Meio Ambiente,
Saude E Comportamento,
Saude E Ambiente,
Saude Da Crianca E Da Mulher,
Saude Coletiva-Unesp-Bot,
Saude Coletiva,
Saneamento, Meio Ambiente E Recursos Hidricos,
Reumatologia,
Relacoes Internacionais (Unesp/Unicamp/Puc-Sp)-Marilia,
Relacoes Internacionais, Arquitetura E Urbanismo,
Relacoes Internacionais,
Regulacao Da Industria De Energia,
Redes De Computadores,
Recursos Pesqueiros E Aquicultura,
Recursos Naturais,
Recursos Hidricos E Saneamento Ambiente,
Recursos Geneticos Vegetais,
Recursos Florestais-Esalq,
Reabilitacao Oral- Araraquara,
Reabilitacao,
Radioprotecao E Dosimetria,
Radiologia Odontologica (Piracicaba),
Radiologia,
Quimica (Rib.Preto),
Quimica (Quimica Inorganica),
Quimica (Quimica Analitica) (Sp-Capital),
Quimica (Quimica Analitica) (S.Carlos),
Quimica (Quimica Analitica Inorganica),
Quimica Organica,
Quimica Inorganica,
Quimica (Fisico-Quimica),
Quimica E Biotecnologia,
Quimica Dos Recursos Naturais,
Quimica De Produtos Naturais,
Quimica, Ciencias Florestais E Ambientais, Administracao,
Quimica Biológica,
Quimica (Araraquara),
Quimica Analitica,
Quimica,
Qualidade,
Psiquiatria E Saude Mental,
Psiquiatria E Psicologia Medica,
Psiquiatria,
Psicossociologia De Comunid. E Ecologia Social,
Psicologia (Teoria E Pesquisa Do Comportamento),
Psicologia Social E Institucional,
Psicologia Social,
Psicologia (Rib.Preto),
Psicologia (Psicologia Social),
Psicologia (Psicologia Experimental),
Psicologia (Psicologia Cognitiva),
Psicologia (Psicologia Clinica),
Psicologia (Neurociencias E Comportamento),
Psicologia Experimental: Analise Do Comportamento,
Psicologia Escolar E Do Desenvolvimento Humano,
Psicologia, Educacao, Direito, Estudos Da Traducao,
Psicologia Do Desenvolvimento,
Psicologia Da Saude,
Psicologia Clinica,
Psicologia-Assis,
Psicologia,
Psicobiologia (Rib.Preto),
Psicobiologia,
Psicanalise,
Promocao De Saude,
Projeto E Operacao De Sistemas Nucleares,
Programa De Pós-Graduacao Em Economia,
Produtos Naturais E Sinteticos Bioativos,
Producao Vegetal, Ciencia E Tecnologia Ambiental,
Producao Vegetal,
Producao Integrada Em Agroecossistemas, Ciencias Da Saude,
Producao Animal,
Producao Agroindustrial,
Processos Industriais,
Processos Biotecnologicos,
Principios Da Cirurgia,
Pós-Graduacao Em Quimica,
Pós-Graduacao Em Engenharia Eletrica,
Politicas Sociais,
Politicas Publicas E Sociedade,
Politicas Publicas,
Politica Social,
Politica Cientifica E Tecnológica,
Pneumologia,
Planejamento Urbano E Regional,
Planejamento Regional E Gestao Da Cidade (Profissionalizante),
Planejamento Energetico,
Planejamento E Gestao Ambiental,
Planejamento Do Desenvolvimento,
Planejamento De Sistemas Energeticos/area Interdisciplinar,
Pesquisa E Desenvolvimento (Biotecnologia Medica),
Pesquisa Clinica Em Doencas Infecciosas, Biologia Oral,
Pediatria (Botucatu),
Pediatria,
Patologia Tropical,
Patologia Oral,
Patologia Molecular,
Patologia Humana (Rib.Preto),
Patologia Humana,
Patologia Experimental E Comparada,
Patologia Experimental,
Patologia Buco-Dental,
Patologia (Botucatu),
Patologia (Anatomia Patológica),
Patologia,
Parasitologia, Ciencias Sociais, Engenharia,
Parasitologia,
Otorrinolaringologia,
